"Task ID","Phase","Category","Task Name","Description","Subtasks","Priority","Estimated Hours","Dependencies","Detailed Steps"
"PUSH-001","Phase 1: Push Notifications","Core Setup","Set up Expo Push Notifications","Configure expo-notifications, request permissions, set up notification handlers","Install package, configure app.json, add permission request on startup","High",8,"None","1. Run: cd subletto-app && npx expo install expo-notifications expo-device expo-constants
2. Update app.json: Add plugins section with expo-notifications config
3. Create src/lib/notificationService.ts with Notifications.setNotificationHandler
4. Add registerForPushNotifications() function that checks Device.isDevice, requests permissions, and gets ExpoPushToken
5. Call registerForPushNotifications in App.tsx useEffect on mount
6. Store push token in user profile table
7. Test on physical device (simulators don't support push)"
"PUSH-002","Phase 1: Push Notifications","Backend","Create Edge Function for push delivery","Supabase Edge Function to send notifications via Expo Push API","Create function, handle payload format, add error handling","High",6,"PUSH-001","1. Create supabase/functions/send-push-notification/index.ts
2. Import Expo server SDK or use fetch to https://exp.host/--/api/v2/push/send
3. Accept payload: { pushToken, title, body, data }
4. Format Expo push message with sound and badge
5. Deploy: supabase functions deploy send-push-notification
6. Test with curl using Expo push token"
"PUSH-003","Phase 1: Push Notifications","Triggers","Message notification triggers","Send push when new message received","Database trigger on messages insert, call edge function","High",4,"PUSH-002","1. Create Postgres function notify_new_message() that:
   - Gets recipient's push_token from profiles
   - Calls send-push-notification edge function via pg_net
2. Create trigger: AFTER INSERT ON messages FOR EACH ROW EXECUTE notify_new_message()
3. Test by sending message and verifying push received"
"PUSH-004","Phase 1: Push Notifications","Triggers","Booking notification triggers","Send push for booking status changes","Notify on booking request, approval, rejection","High",4,"PUSH-002","1. Create Postgres function notify_booking_update() that:
   - Determines notification type (new request, approved, rejected)
   - Gets recipient push_token
   - Calls edge function with appropriate message
2. Create trigger: AFTER INSERT OR UPDATE ON bookings FOR EACH ROW EXECUTE notify_booking_update()
3. Test each booking status change"
"PUSH-005","Phase 1: Push Notifications","UI","In-app notification handling","Handle notifications when app is in foreground","Display toast or banner, navigate on tap","Medium",4,"PUSH-001","1. Add notification listener in App.tsx: Notifications.addNotificationReceivedListener
2. Show Toast component when notification received in foreground
3. Add response listener: Notifications.addNotificationResponseReceivedListener
4. Parse notification data and navigate to appropriate screen (chat, booking, etc.)
5. Clean up listeners on unmount"
"PAY-001","Phase 2: Payments","Setup","Stripe account & API keys setup","Create Stripe account, get publishable and secret keys","Account creation, test mode setup, key retrieval","High",4,"None","1. Create Stripe account at stripe.com
2. Enable test mode in dashboard
3. Copy Publishable Key (pk_test_...) to .env as EXPO_PUBLIC_STRIPE_PUBLISHABLE_KEY
4. Copy Secret Key (sk_test_...) for Edge Function use
5. Store secret key in Supabase Vault: supabase secrets set STRIPE_SECRET_KEY=sk_test_..."
"PAY-002","Phase 2: Payments","Backend","Payment intent Edge Function","Create Stripe payment intents from Supabase Edge Function","Secure backend for payment processing","High",8,"PAY-001","1. Create supabase/functions/create-payment-intent/index.ts
2. Initialize Stripe with secret key from Deno.env
3. Accept: { amount, currency, userId, bookingId, metadata }
4. Call stripe.paymentIntents.create({ amount, currency, metadata })
5. Return { clientSecret, paymentIntentId }
6. Deploy and test with curl"
"PAY-003","Phase 2: Payments","Frontend","Stripe SDK integration","Install and configure @stripe/stripe-react-native","SDK setup, provider configuration","High",6,"PAY-001","1. Run: npx expo install @stripe/stripe-react-native
2. Update app.json: Add stripe plugin with merchantIdentifier
3. Wrap App with StripeProvider in App.tsx:
   <StripeProvider publishableKey={EXPO_PUBLIC_STRIPE_PUBLISHABLE_KEY}>
4. Test initialization logs on app start"
"PAY-004","Phase 2: Payments","UI","Payment UI in checkout flow","Add payment step to CheckoutScreen with card input","Card element, pay button, error handling","High",8,"PAY-002,PAY-003","1. Add Step 5 'Payment' to CheckoutScreen
2. Import CardField from @stripe/stripe-react-native
3. On submit: Call create-payment-intent Edge Function
4. Get clientSecret, call confirmPayment({ paymentIntentClientSecret, type: 'Card' })
5. Handle success: Complete checkout, navigate to confirmation
6. Handle error: Show error message, allow retry"
"PAY-005","Phase 2: Payments","Backend","Webhook handler for payment events","Edge Function to handle Stripe webhooks","Payment success/failure handling, update booking status","High",6,"PAY-002","1. Create supabase/functions/stripe-webhook/index.ts
2. Verify webhook signature with stripe.webhooks.constructEvent
3. Handle payment_intent.succeeded: Update booking payment_status = 'PAID'
4. Handle payment_intent.failed: Update booking payment_status = 'FAILED'
5. Deploy and configure webhook URL in Stripe dashboard
6. Test with Stripe CLI: stripe trigger payment_intent.succeeded"
